Sample_ID,Net_pen,Diet,Gut_segment,Enzyme_extract_concentration,Bile_salts_diluted,Dilution_factor,Bile_salts_concentration,Note
1-6,109,IM66,PI1,25,65,101,262.6,
7-12,110,IM100,PI1,25,61,101,246.4,
13-18,111,REF,PI1,25,65,101,262.6,
19-24,112,IM33,PI1,25,86,101,347.4,
25-30,101,REF,PI1,25,47,101,189.9,
31-36,102,IM33,PI1,25,49,101,198,
37-42,103,IM66,PI1,25,52,101,210.1,
43-48,104,IM100,PI1,25,59,101,238.4,
49-54,105,IM100,PI1,25,41,101,165.6,
55-60,106,REF,PI1,25,43,101,173.7,
61-66,107,IM33,PI1,25,39,101,157.6,
67-72,108,IM66,PI1,25,52,101,210.1,
1-6,109,IM66,PI2,25,49,101,198,
7-12,110,IM100,PI2,25,44,101,177.8,
13-18,111,REF,PI2,25,56,101,226.2,
19-24,112,IM33,PI2,25,71,101,286.8,
25-30,101,REF,PI2,25,37,101,149.5,
31-36,102,IM33,PI2,25,47,101,189.9,
37-42,103,IM66,PI2,25,39,101,157.6,
43-48,104,IM100,PI2,25,48,101,193.9,
49-54,105,IM100,PI2,25,41,101,165.6,
55-60,106,REF,PI2,25,38,101,153.5,
61-66,107,IM33,PI2,25,41,101,165.6,
67-72,108,IM66,PI2,25,40,101,161.6,
1-6,109,IM66,MI,25,52,51,106.1,
7-12,110,IM100,MI,25,40,51,81.6,
13-18,111,REF,MI,25,51,51,104,
19-24,112,IM33,MI,25,68,51,138.7,
25-30,101,REF,MI,25,38,51,77.5,
31-36,102,IM33,MI,25,42,51,85.7,
37-42,103,IM66,MI,25,44,51,89.8,
43-48,104,IM100,MI,25,52,51,106.1,
49-54,105,IM100,MI,25,41,51,83.6,
55-60,106,REF,MI,25,45,51,91.8,
61-66,107,IM33,MI,25,57,51,116.3,
67-72,108,IM66,MI,25,55,51,112.2,
1-6,109,IM66,DI1,25,59,26,61.4,
7-12,110,IM100,DI1,25,28,26,29.1,
13-18,111,REF,DI1,25,46,26,47.8,
19-24,112,IM33,DI1,25,33,26,34.3,
25-30,101,REF,DI1,25,27,26,28.1,
31-36,102,IM33,DI1,25,31,26,32.2,
37-42,103,IM66,DI1,25,685,,27.4,Sample_was_not_diluted_for_measurement
43-48,104,IM100,DI1,25,49,26,51,
49-54,105,IM100,DI1,25,35,26,36.4,
55-60,106,REF,DI1,25,37,26,38.5,
61-66,107,IM33,DI1,25,49,26,51,
67-72,108,IM66,DI1,25,47,26,48.9,
1-6,109,IM66,DI2,25,26,26,27,
7-12,110,IM100,DI2,25,10,26,10.4,
13-18,111,REF,DI2,25,17,26,17.7,
19-24,112,IM33,DI2,25,10,26,10.4,
25-30,101,REF,DI2,25,9,26,9.4,
31-36,102,IM33,DI2,25,10,26,10.4,
37-42,103,IM66,DI2,25,9,26,9.4,
43-48,104,IM100,DI2,25,13,26,13.5,
49-54,105,IM100,DI2,25,14,26,14.6,
55-60,106,REF,DI2,25,9,26,9.4,
61-66,107,IM33,DI2,25,24,26,25,
67-72,108,IM66,DI2,25,17,26,17.7,
