Sample_ID,Net_pen,Diet,Gut_segment,Organ_weight,Body_weight
1,109,IM66,PI,88.66,3783
2,109,IM66,PI,85.66,3826
3,109,IM66,PI,73.796,2992
4,109,IM66,PI,90.19,3080
5,109,IM66,PI,168.864,4443
6,109,IM66,PI,110.81,3923
7,110,IM100,PI,66.471,2953
8,110,IM100,PI,79.793,2774
9,110,IM100,PI,111.12,3212
10,110,IM100,PI,109.66,3712
11,110,IM100,PI,79.428,3444
12,110,IM100,PI,72.574,3303
13,111,REF,PI,66.442,3298
14,111,REF,PI,115.13,3676
15,111,REF,PI,123.19,3957
16,111,REF,PI,144.71,4144
17,111,REF,PI,130.81,3823
18,111,REF,PI,119.93,3766
19,112,IM33,PI,111.19,4459
20,112,IM33,PI,66.521,3597
21,112,IM33,PI,117.07,3876
22,112,IM33,PI,105.62,4126
23,112,IM33,PI,70.561,3269
24,112,IM33,PI,108.8,3569
25,101,REF,PI,77.93,3499
26,101,REF,PI,126.62,3799
27,101,REF,PI,88.77,3279
28,101,REF,PI,120.72,4189
29,101,REF,PI,74.829,3419
30,101,REF,PI,67.144,2994
31,102,IM33,PI,77.319,3390
32,102,IM33,PI,132.48,3995
33,102,IM33,PI,130.84,4365
34,102,IM33,PI,111.85,3525
35,102,IM33,PI,69.82,3260
36,102,IM33,PI,65.198,2726
37,103,IM66,PI,101.89,3551
38,103,IM66,PI,108.41,4319
39,103,IM66,PI,81.91,3725
40,103,IM66,PI,108.33,3774
41,103,IM66,PI,94.73,3604
42,103,IM66,PI,119.8,3760
43,104,IM100,PI,118.73,4187
44,104,IM100,PI,82.12,3231
45,104,IM100,PI,116.13,4269
46,104,IM100,PI,139.85,4746
47,104,IM100,PI,77.896,3882
48,104,IM100,PI,150.64,4379
49,105,IM100,PI,92.96,3226
50,105,IM100,PI,114.99,3383
51,105,IM100,PI,106.82,4013
52,105,IM100,PI,122.04,3911
53,105,IM100,PI,136.14,4166
54,105,IM100,PI,118.65,4352
55,106,REF,PI,115.26,3370
56,106,REF,PI,131.21,4250
57,106,REF,PI,144.06,4965
58,106,REF,PI,122.95,4355
59,106,REF,PI,90.21,3492
60,106,REF,PI,108.87,3691
61,107,IM33,PI,110.02,3753
62,107,IM33,PI,94.39,3185
63,107,IM33,PI,112.97,4312
64,107,IM33,PI,154.24,4300
65,107,IM33,PI,85.96,3350
66,107,IM33,PI,103.47,3986
67,108,IM66,PI,138.21,4857
68,108,IM66,PI,103.85,3500
69,108,IM66,PI,130.68,4247
70,108,IM66,PI,100.07,3663
71,108,IM66,PI,102.79,3809
72,108,IM66,PI,141.82,4403
1,109,IM66,MI,6.972,3783
2,109,IM66,MI,5.541,3826
3,109,IM66,MI,4.872,2992
4,109,IM66,MI,4.773,3080
5,109,IM66,MI,9.612,4443
6,109,IM66,MI,6.37,3923
7,110,IM100,MI,4.894,2953
8,110,IM100,MI,4.449,2774
9,110,IM100,MI,6.119,3212
10,110,IM100,MI,6.049,3712
11,110,IM100,MI,5.748,3444
12,110,IM100,MI,6.104,3303
13,111,REF,MI,5.428,3298
14,111,REF,MI,9.351,3676
15,111,REF,MI,6.415,3957
16,111,REF,MI,9.581,4144
17,111,REF,MI,5.778,3823
18,111,REF,MI,4.971,3766
19,112,IM33,MI,6.9,4459
20,112,IM33,MI,5.368,3597
21,112,IM33,MI,6.814,3876
22,112,IM33,MI,9.517,4126
23,112,IM33,MI,4.191,3269
24,112,IM33,MI,6.105,3569
25,101,REF,MI,5.374,3499
26,101,REF,MI,7.432,3799
27,101,REF,MI,6.07,3279
28,101,REF,MI,8.33,4189
29,101,REF,MI,4.242,3419
30,101,REF,MI,4.524,2994
31,102,IM33,MI,4.976,3390
32,102,IM33,MI,8.336,3995
33,102,IM33,MI,7.494,4365
34,102,IM33,MI,8.184,3525
35,102,IM33,MI,5.285,3260
36,102,IM33,MI,4.451,2726
37,103,IM66,MI,5.844,3551
38,103,IM66,MI,7.143,4319
39,103,IM66,MI,5.326,3725
40,103,IM66,MI,8.211,3774
41,103,IM66,MI,5.107,3604
42,103,IM66,MI,6.757,3760
43,104,IM100,MI,7.579,4187
44,104,IM100,MI,6.11,3231
45,104,IM100,MI,8.654,4269
46,104,IM100,MI,9.308,4746
47,104,IM100,MI,6.471,3882
48,104,IM100,MI,8.13,4379
49,105,IM100,MI,4.688,3226
50,105,IM100,MI,6.455,3383
51,105,IM100,MI,5.669,4013
52,105,IM100,MI,6.919,3911
53,105,IM100,MI,7.57,4166
54,105,IM100,MI,7.944,4352
55,106,REF,MI,6.832,3370
56,106,REF,MI,13.51,4250
57,106,REF,MI,10.37,4965
58,106,REF,MI,9.837,4355
59,106,REF,MI,5.951,3492
60,106,REF,MI,5.397,3691
61,107,IM33,MI,7.215,3753
62,107,IM33,MI,5.178,3185
63,107,IM33,MI,7.108,4312
64,107,IM33,MI,7.603,4300
65,107,IM33,MI,4.981,3350
66,107,IM33,MI,7.567,3986
67,108,IM66,MI,9.264,4857
68,108,IM66,MI,7.655,3500
69,108,IM66,MI,8.558,4247
70,108,IM66,MI,6.793,3663
71,108,IM66,MI,6.133,3809
72,108,IM66,MI,9.9,4403
1,109,IM66,DI,18.907,3783
2,109,IM66,DI,11.458,3826
3,109,IM66,DI,8.565,2992
4,109,IM66,DI,11.006,3080
5,109,IM66,DI,16.021,4443
6,109,IM66,DI,20.419,3923
7,110,IM100,DI,10.427,2953
8,110,IM100,DI,7.909,2774
9,110,IM100,DI,13.52,3212
10,110,IM100,DI,12.116,3712
11,110,IM100,DI,11.515,3444
12,110,IM100,DI,9.326,3303
13,111,REF,DI,7.252,3298
14,111,REF,DI,7.085,3676
15,111,REF,DI,8.948,3957
16,111,REF,DI,12.015,4144
17,111,REF,DI,14.374,3823
18,111,REF,DI,11.043,3766
19,112,IM33,DI,12.796,4459
20,112,IM33,DI,10.082,3597
21,112,IM33,DI,12.916,3876
22,112,IM33,DI,12.966,4126
23,112,IM33,DI,10.451,3269
24,112,IM33,DI,11.539,3569
25,101,REF,DI,6.938,3499
26,101,REF,DI,9.067,3799
27,101,REF,DI,6.493,3279
28,101,REF,DI,11.348,4189
29,101,REF,DI,5.583,3419
30,101,REF,DI,6.71,2994
31,102,IM33,DI,7.09,3390
32,102,IM33,DI,9.89,3995
33,102,IM33,DI,13.561,4365
34,102,IM33,DI,11.259,3525
35,102,IM33,DI,11.245,3260
36,102,IM33,DI,7.453,2726
37,103,IM66,DI,13.704,3551
38,103,IM66,DI,15.757,4319
39,103,IM66,DI,10.08,3725
40,103,IM66,DI,10.205,3774
41,103,IM66,DI,13.851,3604
42,103,IM66,DI,8.492,3760
43,104,IM100,DI,12.985,4187
44,104,IM100,DI,9.122,3231
