Sample_ID,Diet,Net_pen,Ref_gene,PE,Cq,Cq_error,Comments
7,IM,110,gapdh,1.9,18.64,0.01,
8,IM,110,gapdh,1.9,19.09,0.03,
9,IM,110,gapdh,1.9,18.83,0.06,
10,IM,110,gapdh,1.9,18.53,0.05,
11,IM,110,gapdh,1.9,18.66,0.09,
12,IM,110,gapdh,1.9,19.05,0.02,
13,REF,111,gapdh,1.9,18.02,0.01,
14,REF,111,gapdh,1.9,18.23,0.04,
15,REF,111,gapdh,1.9,18.61,0.03,
16,REF,111,gapdh,1.9,18.58,0.06,
17,REF,111,gapdh,1.9,18.46,0.06,
18,REF,111,gapdh,1.9,18.47,0.01,
25,REF,101,gapdh,1.9,19.1,0.05,
26,REF,101,gapdh,1.9,18.2,0.08,
27,REF,101,gapdh,1.9,19.49,0.04,
28,REF,101,gapdh,1.9,18.44,2.98,18.44_22.66
29,REF,101,gapdh,1.9,18.3,0.03,
30,REF,101,gapdh,1.9,18.56,0.05,
43,IM,104,gapdh,1.9,18.31,0.18,
44,IM,104,gapdh,1.9,18.24,0.02,
45,IM,104,gapdh,1.9,18.4,0.12,
46,IM,104,gapdh,1.9,18.37,0.01,
47,IM,104,gapdh,1.9,18.45,0.05,
48,IM,104,gapdh,1.9,18.28,3.17,18.28_22.76
49,IM,105,gapdh,1.9,18.57,0.16,
50,IM,105,gapdh,1.9,18.66,0.03,
51,IM,105,gapdh,1.9,18.9,0.13,
52,IM,105,gapdh,1.9,18.38,0.01,
53,IM,105,gapdh,1.9,18.62,0,
54,IM,105,gapdh,1.9,18.29,0.01,
55,REF,106,gapdh,1.9,18.26,0.06,
56,REF,106,gapdh,1.9,18.43,0.04,
57,REF,106,gapdh,1.9,18.78,0.08,
58,REF,106,gapdh,1.9,18.55,0.08,
59,REF,106,gapdh,1.9,18.13,0.03,
60,REF,106,gapdh,1.9,18.5,0.03,
7,IM,110,rnapo2,1.8,24.72,0.04,
8,IM,110,rnapo2,1.8,23.88,0,
9,IM,110,rnapo2,1.8,24.57,0.06,
10,IM,110,rnapo2,1.8,24.02,0.04,
11,IM,110,rnapo2,1.8,24.37,0.2,
12,IM,110,rnapo2,1.8,24.11,0.03,
13,REF,111,rnapo2,1.8,24.01,0.08,
14,REF,111,rnapo2,1.8,24.18,0.05,
15,REF,111,rnapo2,1.8,23.72,2.88,23.72_27.79
16,REF,111,rnapo2,1.8,24.23,0.03,
17,REF,111,rnapo2,1.8,24.18,0.01,
18,REF,111,rnapo2,1.8,24.02,0.08,
25,REF,101,rnapo2,1.8,23.95,0.05,
26,REF,101,rnapo2,1.8,23.94,0.01,
27,REF,101,rnapo2,1.8,23.8,0.08,
28,REF,101,rnapo2,1.8,24.23,0.04,
29,REF,101,rnapo2,1.8,24.11,0.01,
30,REF,101,rnapo2,1.8,24.23,0.03,
43,IM,104,rnapo2,1.8,24.11,0.18,
44,IM,104,rnapo2,1.8,23.93,0.08,
45,IM,104,rnapo2,1.8,24.18,0.08,
46,IM,104,rnapo2,1.8,24.2,0.05,
47,IM,104,rnapo2,1.8,24.06,0.04,
48,IM,104,rnapo2,1.8,23.95,0.3,
49,IM,105,rnapo2,1.8,24.17,0.07,
50,IM,105,rnapo2,1.8,23.79,0.04,
51,IM,105,rnapo2,1.8,24.21,0.25,
52,IM,105,rnapo2,1.8,24.09,0.04,
53,IM,105,rnapo2,1.8,24.24,0.01,
54,IM,105,rnapo2,1.8,24.19,0.01,
55,REF,106,rnapo2,1.8,23.99,0.08,
56,REF,106,rnapo2,1.8,23.85,0.04,
57,REF,106,rnapo2,1.8,24.41,0.09,
58,REF,106,rnapo2,1.8,24.44,0.1,
59,REF,106,rnapo2,1.8,24.15,0.06,
60,REF,106,rnapo2,1.8,24.32,0.02,
7,IM,110,hprt1,2,21.39,0.09,
8,IM,110,hprt1,2,21.36,0.05,
9,IM,110,hprt1,2,21.78,0.02,
10,IM,110,hprt1,2,21.72,0.01,
11,IM,110,hprt1,2,21.22,0.11,
12,IM,110,hprt1,2,21.73,0.04,
13,REF,111,hprt1,2,21.83,0.03,
14,REF,111,hprt1,2,22.35,0.22,
15,REF,111,hprt1,2,21.35,0.05,
16,REF,111,hprt1,2,21.89,0.16,
17,REF,111,hprt1,2,21.18,0.04,
18,REF,111,hprt1,2,21.52,0.04,
25,REF,101,hprt1,2,21.76,0.02,
26,REF,101,hprt1,2,20.87,0.12,
27,REF,101,hprt1,2,21.61,0.06,
28,REF,101,hprt1,2,21.54,0.02,
29,REF,101,hprt1,2,21.67,0.02,
30,REF,101,hprt1,2,21.93,0.05,
43,IM,104,hprt1,2,21.87,0.32,21.64_22.09
44,IM,104,hprt1,2,21.12,0.06,
45,IM,104,hprt1,2,21.14,0.13,
46,IM,104,hprt1,2,21.37,0.07,
47,IM,104,hprt1,2,21.07,0.01,
48,IM,104,hprt1,2,22.17,0.05,
49,IM,105,hprt1,2,20.95,0.16,
50,IM,105,hprt1,2,21.02,0.08,
51,IM,105,hprt1,2,22.14,0.01,
52,IM,105,hprt1,2,21.82,0.02,
53,IM,105,hprt1,2,21.44,0,
54,IM,105,hprt1,2,21.31,0.04,
55,REF,106,hprt1,2,21.84,0.11,
56,REF,106,hprt1,2,21.44,0.04,
57,REF,106,hprt1,2,21.51,0.11,
58,REF,106,hprt1,2,21.67,0.05,
59,REF,106,hprt1,2,21.22,0.06,
60,REF,106,hprt1,2,22.21,0.04,
7,IM,110,actb,1.86,14.68,0.03,
8,IM,110,actb,1.86,14.34,0.08,
9,IM,110,actb,1.86,14.7,0.03,
10,IM,110,actb,1.86,14.09,0.01,
11,IM,110,actb,1.86,14.48,0.04,
12,IM,110,actb,1.86,14.27,0.03,
13,REF,111,actb,1.86,14.12,0.06,
14,REF,111,actb,1.86,14.41,0.05,
15,REF,111,actb,1.86,14.55,0.07,
16,REF,111,actb,1.86,14.31,0.01,
17,REF,111,actb,1.86,14.53,0.15,
18,REF,111,actb,1.86,14.38,0,
25,REF,101,actb,1.86,14.14,0.04,
26,REF,101,actb,1.86,14.19,0.04,
27,REF,101,actb,1.86,14.2,0.03,
28,REF,101,actb,1.86,14.59,0.04,
29,REF,101,actb,1.86,14.24,0.02,
30,REF,101,actb,1.86,14.4,0.21,
43,IM,104,actb,1.86,14.62,2.62,14.62_18.33
44,IM,104,actb,1.86,14.43,0,
45,IM,104,actb,1.86,14.58,0.04,
46,IM,104,actb,1.86,14.51,0.03,
47,IM,104,actb,1.86,14.52,0.07,
48,IM,104,actb,1.86,14.33,0.04,
49,IM,105,actb,1.86,14.63,0.16,
50,IM,105,actb,1.86,14.07,0.04,
51,IM,105,actb,1.86,14.26,0.02,
52,IM,105,actb,1.86,13.97,0.04,
53,IM,105,actb,1.86,14.35,0.01,
54,IM,105,actb,1.86,14.32,0.04,
55,REF,106,actb,1.86,14.44,0.15,
56,REF,106,actb,1.86,14.2,0.01,
57,REF,106,actb,1.86,14.42,0.08,
58,REF,106,actb,1.86,14.56,0.01,
59,REF,106,actb,1.86,14.41,0.01,
60,REF,106,actb,1.86,14.43,0,
