Sample_ID,Diet,Net_pen,Ref_gene,PE,Cq,Cq_error,Comments
7,IM,110,gapdh,1.9,18.73,0.04,
8,IM,110,gapdh,1.9,18.22,0,
9,IM,110,gapdh,1.9,18.26,0.02,
10,IM,110,gapdh,1.9,18.12,0.04,
11,IM,110,gapdh,1.9,18.24,0.06,
12,IM,110,gapdh,1.9,18.07,0.02,
13,REF,111,gapdh,1.9,18.24,0.04,
14,REF,111,gapdh,1.9,18.14,0.06,
15,REF,111,gapdh,1.9,18.29,0.06,
16,REF,111,gapdh,1.9,18.07,0.01,
17,REF,111,gapdh,1.9,18.25,0.02,
18,REF,111,gapdh,1.9,18.45,0.14,
25,REF,101,gapdh,1.9,18.44,0.01,
26,REF,101,gapdh,1.9,18.01,0.01,
27,REF,101,gapdh,1.9,18.13,0.02,
28,REF,101,gapdh,1.9,17.98,0.02,
29,REF,101,gapdh,1.9,17.97,0.05,
30,REF,101,gapdh,1.9,17.9,0.05,
43,IM,104,gapdh,1.9,18.2,0.19,
44,IM,104,gapdh,1.9,18.19,0.04,
45,IM,104,gapdh,1.9,17.79,0.07,
46,IM,104,gapdh,1.9,17.92,0.03,
47,IM,104,gapdh,1.9,17.93,0.01,
48,IM,104,gapdh,1.9,17.8,0.03,
49,IM,105,gapdh,1.9,18.33,0.08,
50,IM,105,gapdh,1.9,18.34,0.04,
51,IM,105,gapdh,1.9,18.24,0.04,
52,IM,105,gapdh,1.9,18.18,0.03,
53,IM,105,gapdh,1.9,17.79,0.01,
54,IM,105,gapdh,1.9,18.12,0.01,
55,REF,106,gapdh,1.9,17.86,0.04,
56,REF,106,gapdh,1.9,18.05,0.03,
57,REF,106,gapdh,1.9,17.79,0.03,
58,REF,106,gapdh,1.9,18.08,0.01,
59,REF,106,gapdh,1.9,17.9,0.01,
60,REF,106,gapdh,1.9,17.87,0.06,Calibrated_Cq_from_run_2
7,IM,110,rnapo2,1.8,24.68,0.07,
8,IM,110,rnapo2,1.8,23.58,0.01,
9,IM,110,rnapo2,1.8,24.2,0.02,
10,IM,110,rnapo2,1.8,23.58,0.06,
11,IM,110,rnapo2,1.8,24.13,0.02,
12,IM,110,rnapo2,1.8,23.81,0.03,
13,REF,111,rnapo2,1.8,23.91,0.04,
14,REF,111,rnapo2,1.8,23.75,0.01,
15,REF,111,rnapo2,1.8,24.02,0.01,
16,REF,111,rnapo2,1.8,24.14,0.02,
17,REF,111,rnapo2,1.8,24.25,0.01,
18,REF,111,rnapo2,1.8,24.13,0.1,
25,REF,101,rnapo2,1.8,24.06,0.05,
26,REF,101,rnapo2,1.8,23.66,0.08,
27,REF,101,rnapo2,1.8,23.82,0.06,
28,REF,101,rnapo2,1.8,23.89,0.02,
29,REF,101,rnapo2,1.8,23.9,0.01,
30,REF,101,rnapo2,1.8,23.92,0.02,
43,IM,104,rnapo2,1.8,24.09,0.17,
44,IM,104,rnapo2,1.8,23.73,0.04,
45,IM,104,rnapo2,1.8,23.77,0.1,
46,IM,104,rnapo2,1.8,23.91,0.09,
47,IM,104,rnapo2,1.8,24.05,0.04,
48,IM,104,rnapo2,1.8,24.08,0.25,
49,IM,105,rnapo2,1.8,23.96,0.12,
50,IM,105,rnapo2,1.8,24.11,0.06,
51,IM,105,rnapo2,1.8,24.02,0.08,
52,IM,105,rnapo2,1.8,23.91,0.08,
53,IM,105,rnapo2,1.8,23.77,0.04,
54,IM,105,rnapo2,1.8,23.87,0,
55,REF,106,rnapo2,1.8,23.74,0.07,
56,REF,106,rnapo2,1.8,24.06,0.05,
57,REF,106,rnapo2,1.8,24.04,0.15,
58,REF,106,rnapo2,1.8,23.76,0.06,
59,REF,106,rnapo2,1.8,23.81,0.07,
60,REF,106,rnapo2,1.8,24.17,0.1,Calibrated_Cq_from_run_2
7,IM,110,hprt1,2,23.11,0.15,
8,IM,110,hprt1,2,21.72,0.07,
9,IM,110,hprt1,2,22.45,0.05,
10,IM,110,hprt1,2,21.59,0.01,
11,IM,110,hprt1,2,22.18,0.08,
12,IM,110,hprt1,2,21.94,0.06,
13,REF,111,hprt1,2,22.08,0.08,
14,REF,111,hprt1,2,22.13,0.06,
15,REF,111,hprt1,2,22.19,0.16,
16,REF,111,hprt1,2,22.49,0.09,
17,REF,111,hprt1,2,22.37,0.01,
18,REF,111,hprt1,2,22.64,0.04,
25,REF,101,hprt1,2,22.43,0.04,
26,REF,101,hprt1,2,21.64,0.01,
27,REF,101,hprt1,2,22,0.12,
28,REF,101,hprt1,2,22.22,0.11,
29,REF,101,hprt1,2,22.14,0.11,
30,REF,101,hprt1,2,22.4,0.13,
43,IM,104,hprt1,2,22.47,0.03,
44,IM,104,hprt1,2,21.86,0.18,
45,IM,104,hprt1,2,22.37,0.04,
46,IM,104,hprt1,2,21.95,0.08,
47,IM,104,hprt1,2,22.51,0.03,
