Sample_ID,Diet,Net_pen,gapdh_Cq,gapdh_PE,rnapo2_Cq,rnapo2_PE,hprt1_Cq,hprt1_PE,actb_Cq,actb_PE,Target,Target_PE,Target_Cq,Target_Cq_error,Target_func,Comments
7,IM,110,18.73,1.90 ,24.68,1.80 ,23.11,2.00 ,15.32,1.86,myd88,1.80 ,25.18,0.01,immune_modulation,
8,IM,110,18.22,1.90 ,23.58,1.80 ,21.72,2.00 ,14.65,1.86,myd88,1.80 ,24.62,0.04,immune_modulation,
9,IM,110,18.26,1.90 ,24.2,1.80 ,22.45,2.00 ,14.98,1.86,myd88,1.80 ,25.26,0.01,immune_modulation,
10,IM,110,18.12,1.90 ,23.58,1.80 ,21.59,2.00 ,14.43,1.86,myd88,1.80 ,24.78,0.01,immune_modulation,
11,IM,110,18.24,1.90 ,24.13,1.80 ,22.18,2.00 ,14.85,1.86,myd88,1.80 ,24.73,0.1,immune_modulation,
12,IM,110,18.07,1.90 ,23.81,1.80 ,21.94,2.00 ,14.75,1.86,myd88,1.80 ,24.53,0.04,immune_modulation,
13,REF,111,18.24,1.90 ,23.91,1.80 ,22.08,2.00 ,14.9,1.86,myd88,1.80 ,24.93,0.02,immune_modulation,
14,REF,111,18.14,1.90 ,23.75,1.80 ,22.13,2.00 ,14.74,1.86,myd88,1.80 ,24.87,0.08,immune_modulation,
15,REF,111,18.29,1.90 ,24.02,1.80 ,22.19,2.00 ,15.09,1.86,myd88,1.80 ,25.49,0.03,immune_modulation,
16,REF,111,18.07,1.90 ,24.14,1.80 ,22.49,2.00 ,14.8,1.86,myd88,1.80 ,24.87,0.09,immune_modulation,
17,REF,111,18.25,1.90 ,24.25,1.80 ,22.37,2.00 ,14.92,1.86,myd88,1.80 ,25.6,0.04,immune_modulation,
18,REF,111,18.45,1.90 ,24.13,1.80 ,22.64,2.00 ,15,1.86,myd88,1.80 ,25.27,0.02,immune_modulation,
25,REF,101,18.44,1.90 ,24.06,1.80 ,22.43,2.00 ,14.94,1.86,myd88,1.80 ,25.23,0.08,immune_modulation,
26,REF,101,18.01,1.90 ,23.66,1.80 ,21.64,2.00 ,14.45,1.86,myd88,1.80 ,24.95,0.06,immune_modulation,
27,REF,101,18.13,1.90 ,23.82,1.80 ,22,2.00 ,14.79,1.86,myd88,1.80 ,24.93,0.06,immune_modulation,
28,REF,101,17.98,1.90 ,23.89,1.80 ,22.22,2.00 ,14.7,1.86,myd88,1.80 ,25.03,0.05,immune_modulation,
29,REF,101,17.97,1.90 ,23.9,1.80 ,22.14,2.00 ,14.57,1.86,myd88,1.80 ,24.99,0.02,immune_modulation,
30,REF,101,17.9,1.90 ,23.92,1.80 ,22.4,2.00 ,14.5,1.86,myd88,1.80 ,24.63,0.04,immune_modulation,
43,IM,104,18.2,1.90 ,24.09,1.80 ,22.47,2.00 ,14.88,1.86,myd88,1.80 ,25.15,0.02,immune_modulation,
44,IM,104,18.19,1.90 ,23.73,1.80 ,21.86,2.00 ,14.75,1.86,myd88,1.80 ,24.5,0.01,immune_modulation,
45,IM,104,17.79,1.90 ,23.77,1.80 ,22.37,2.00 ,14.59,1.86,myd88,1.80 ,25.06,0.09,immune_modulation,
46,IM,104,17.92,1.90 ,23.91,1.80 ,21.95,2.00 ,14.51,1.86,myd88,1.80 ,24.73,0,immune_modulation,
47,IM,104,17.93,1.90 ,24.05,1.80 ,22.51,2.00 ,14.42,1.86,myd88,1.80 ,25.24,0.04,immune_modulation,
48,IM,104,17.8,1.90 ,24.08,1.80 ,22.4,2.00 ,14.49,1.86,myd88,1.80 ,25.21,0.04,immune_modulation,
49,IM,105,18.33,1.90 ,23.96,1.80 ,21.88,2.00 ,14.79,1.86,myd88,1.80 ,24.9,0.03,immune_modulation,
50,IM,105,18.34,1.90 ,24.11,1.80 ,22.5,2.00 ,14.81,1.86,myd88,1.80 ,25.4,0,immune_modulation,
51,IM,105,18.24,1.90 ,24.02,1.80 ,22.29,2.00 ,15.02,1.86,myd88,1.80 ,25.11,0.01,immune_modulation,
52,IM,105,18.18,1.90 ,23.91,1.80 ,21.88,2.00 ,14.89,1.86,myd88,1.80 ,24.71,0.01,immune_modulation,
53,IM,105,17.79,1.90 ,23.77,1.80 ,22.16,2.00 ,14.45,1.86,myd88,1.80 ,24.39,0.01,immune_modulation,
54,IM,105,18.12,1.90 ,23.87,1.80 ,22.28,2.00 ,14.75,1.86,myd88,1.80 ,24.58,0.03,immune_modulation,
55,REF,106,17.86,1.90 ,23.74,1.80 ,22.11,2.00 ,14.4,1.86,myd88,1.80 ,24.85,0.01,immune_modulation,
56,REF,106,18.05,1.90 ,24.06,1.80 ,22.38,2.00 ,14.65,1.86,myd88,1.80 ,25.32,0.04,immune_modulation,
57,REF,106,17.79,1.90 ,24.04,1.80 ,22.11,2.00 ,14.69,1.86,myd88,1.80 ,25.13,0.04,immune_modulation,
58,REF,106,18.08,1.90 ,23.76,1.80 ,22.18,2.00 ,14.63,1.86,myd88,1.80 ,25.03,0.02,immune_modulation,
59,REF,106,17.9,1.90 ,23.81,1.80 ,22.13,2.00 ,14.48,1.86,myd88,1.80 ,25.04,0.02,immune_modulation,
60,REF,106,17.87,1.90 ,24.17,1.80 ,22.60,2.00 ,14.65,1.86,myd88,1.80 ,24.81,0.04,immune_modulation,
7,IM,110,18.73,1.90 ,24.68,1.80 ,23.11,2.00 ,15.32,1.86,tnfα,1.97,32.08,0.14,immune_modulation,
8,IM,110,18.22,1.90 ,23.58,1.80 ,21.72,2.00 ,14.65,1.86,tnfα,1.97,32.14,0.01,immune_modulation,
9,IM,110,18.26,1.90 ,24.2,1.80 ,22.45,2.00 ,14.98,1.86,tnfα,1.97,32.23,0.03,immune_modulation,
10,IM,110,18.12,1.90 ,23.58,1.80 ,21.59,2.00 ,14.43,1.86,tnfα,1.97,32.4,0.25,immune_modulation,
11,IM,110,18.24,1.90 ,24.13,1.80 ,22.18,2.00 ,14.85,1.86,tnfα,1.97,32.09,0.27,immune_modulation,
12,IM,110,18.07,1.90 ,23.81,1.80 ,21.94,2.00 ,14.75,1.86,tnfα,1.97,32.58,0.01,immune_modulation,
13,REF,111,18.24,1.90 ,23.91,1.80 ,22.08,2.00 ,14.9,1.86,tnfα,1.97,32.45,0.36,immune_modulation,
14,REF,111,18.14,1.90 ,23.75,1.80 ,22.13,2.00 ,14.74,1.86,tnfα,1.97,32.48,0.28,immune_modulation,
15,REF,111,18.29,1.90 ,24.02,1.80 ,22.19,2.00 ,15.09,1.86,tnfα,1.97,32.8,0.34,immune_modulation,
16,REF,111,18.07,1.90 ,24.14,1.80 ,22.49,2.00 ,14.8,1.86,tnfα,1.97,32.5,0.34,immune_modulation,
17,REF,111,18.25,1.90 ,24.25,1.80 ,22.37,2.00 ,14.92,1.86,tnfα,1.97,32.39,0.27,immune_modulation,
18,REF,111,18.45,1.90 ,24.13,1.80 ,22.64,2.00 ,15,1.86,tnfα,1.97,32.6,0.27,immune_modulation,
25,REF,101,18.44,1.90 ,24.06,1.80 ,22.43,2.00 ,14.94,1.86,tnfα,1.97,32,0.21,immune_modulation,
26,REF,101,18.01,1.90 ,23.66,1.80 ,21.64,2.00 ,14.45,1.86,tnfα,1.97,33.22,0.22,immune_modulation,
27,REF,101,18.13,1.90 ,23.82,1.80 ,22,2.00 ,14.79,1.86,tnfα,1.97,32.47,0.25,immune_modulation,
28,REF,101,17.98,1.90 ,23.89,1.80 ,22.22,2.00 ,14.7,1.86,tnfα,1.97,32.41,0.02,immune_modulation,
29,REF,101,17.97,1.90 ,23.9,1.80 ,22.14,2.00 ,14.57,1.86,tnfα,1.97,33.3,0.14,immune_modulation,
30,REF,101,17.9,1.90 ,23.92,1.80 ,22.4,2.00 ,14.5,1.86,tnfα,1.97,33.11,0.54,immune_modulation,
43,IM,104,18.2,1.90 ,24.09,1.80 ,22.47,2.00 ,14.88,1.86,tnfα,1.97,32.35,0.11,immune_modulation,
44,IM,104,18.19,1.90 ,23.73,1.80 ,21.86,2.00 ,14.75,1.86,tnfα,1.97,33,0.31,immune_modulation,
45,IM,104,17.79,1.90 ,23.77,1.80 ,22.37,2.00 ,14.59,1.86,tnfα,1.97,33.87,0.59,immune_modulation,
46,IM,104,17.92,1.90 ,23.91,1.80 ,21.95,2.00 ,14.51,1.86,tnfα,1.97,32.61,0.15,immune_modulation,
47,IM,104,17.93,1.90 ,24.05,1.80 ,22.51,2.00 ,14.42,1.86,tnfα,1.97,32.18,0.25,immune_modulation,
48,IM,104,17.8,1.90 ,24.08,1.80 ,22.4,2.00 ,14.49,1.86,tnfα,1.97,32.58,0.11,immune_modulation,
49,IM,105,18.33,1.90 ,23.96,1.80 ,21.88,2.00 ,14.79,1.86,tnfα,1.97,32.32,0.03,immune_modulation,
50,IM,105,18.34,1.90 ,24.11,1.80 ,22.5,2.00 ,14.81,1.86,tnfα,1.97,32.51,0.07,immune_modulation,
51,IM,105,18.24,1.90 ,24.02,1.80 ,22.29,2.00 ,15.02,1.86,tnfα,1.97,32.55,0.21,immune_modulation,
52,IM,105,18.18,1.90 ,23.91,1.80 ,21.88,2.00 ,14.89,1.86,tnfα,1.97,32.8,0.26,immune_modulation,
53,IM,105,17.79,1.90 ,23.77,1.80 ,22.16,2.00 ,14.45,1.86,tnfα,1.97,32.52,0.35,immune_modulation,
54,IM,105,18.12,1.90 ,23.87,1.80 ,22.28,2.00 ,14.75,1.86,tnfα,1.97,32.92,0.16,immune_modulation,
55,REF,106,17.86,1.90 ,23.74,1.80 ,22.11,2.00 ,14.4,1.86,tnfα,1.97,32.84,0.14,immune_modulation,
56,REF,106,18.05,1.90 ,24.06,1.80 ,22.38,2.00 ,14.65,1.86,tnfα,1.97,32.71,0.29,immune_modulation,
57,REF,106,17.79,1.90 ,24.04,1.80 ,22.11,2.00 ,14.69,1.86,tnfα,1.97,32.63,0.09,immune_modulation,
