Sample_ID,Net_pen,Diet,PI_hpv,PI_lpc,PI_smc,MI_hpv,MI_lpc,MI_smc,DI_mfh,DI_lpc,DI_smc,DI_snv
29,101,REF,Severe,Normal,Mild,Normal,Normal,Normal,Mild,Mild,Mild,Moderate
59,106,REF,Marked,Normal,Mild,Mild,Normal,Mild,Normal,Normal,Normal,Normal
28,101,REF,Moderate,Normal,Mild,Mild,Mild,Mild,Normal,Normal,Normal,Normal
56,106,REF,Moderate,Normal,Normal,Moderate,Normal,Moderate,Normal,Mild,Mild,Normal
16,111,REF,Moderate,Mild,Mild,Normal,Normal,Normal,Normal,Normal,Mild,Mild
25,101,REF,Marked,Normal,Normal,Normal,Normal,Normal,Mild,Moderate,Moderate,Marked
18,111,REF,Marked,Mild,Mild,Normal,Mild,Normal,Normal,Normal,Normal,Normal
60,106,REF,Marked,Mild,Mild,Normal,Moderate,Normal,Normal,Mild,Mild,Normal
57,106,REF,Moderate,Normal,Normal,Mild,Normal,Mild,Normal,Mild,Mild,Normal
27,101,REF,Severe,Normal,Normal,Mild,Normal,Mild,Mild,Mild,Moderate,Severe
13,111,REF,Moderate,Normal,Mild,Normal,Mild,Normal,Normal,Normal,Mild,Mild
58,106,REF,Marked,Normal,Normal,Moderate,Normal,Moderate,Normal,Normal,Mild,Normal
14,111,REF,Moderate,Normal,Normal,Normal,Mild,Normal,Mild,Moderate,Moderate,Marked
15,111,REF,Marked,Normal,Normal,Normal,Normal,Normal,Normal,Mild,Mild,Moderate
17,111,REF,Marked,Normal,Mild,Normal,Normal,Normal,Normal,Normal,Normal,Normal
30,101,REF,Mild,Normal,Mild,Normal,Normal,Normal,Normal,Mild,Mild,Normal
55,106,REF,Moderate,Normal,Mild,Mild,Normal,Mild,Normal,Normal,Mild,Normal
26,101,REF,Marked,Mild,Mild,Mild,Mild,Mild,Normal,Normal,Mild,Moderate
54,105,IM,Moderate,Mild,Moderate,Normal,Normal,Normal,Normal,Normal,Normal,Normal
48,104,IM,Moderate,Mild,Mild,Normal,Mild,Normal,Normal,Normal,Normal,Mild
7,110,IM,Moderate,Mild,Mild,Mild,Moderate,Mild,Normal,Normal,Normal,Normal
12,110,IM,Moderate,Normal,Normal,Normal,Normal,Normal,Moderate,Moderate,Marked,Severe
47,104,IM,Mild,Normal,Mild,Normal,Normal,Normal,Normal,Mild,Mild,Normal
51,105,IM,Moderate,Normal,Mild,Mild,Normal,Mild,Moderate,Marked,Marked,Severe
43,104,IM,Mild,Normal,Mild,Normal,Normal,Normal,Normal,Mild,Mild,Severe
9,110,IM,Mild,Mild,Mild,Normal,Normal,Normal,Normal,Normal,Mild,Normal
10,110,IM,Moderate,Normal,Normal,Normal,Normal,Normal,Normal,Mild,Mild,Severe
46,104,IM,Moderate,Mild,Mild,Normal,Normal,Normal,Normal,Normal,Normal,Normal
44,104,IM,Marked,Normal,Mild,,,,Normal,Normal,Normal,Normal
53,105,IM,Moderate,Normal,Mild,Normal,Normal,Normal,Mild,Mild,Moderate,Severe
50,105,IM,Moderate,Mild,Moderate,Normal,Normal,Normal,Normal,Moderate,Moderate,Marked
11,110,IM,Moderate,Mild,Moderate,Normal,Mild,Normal,Normal,Normal,Mild,Normal
52,105,IM,Marked,Mild,Mild,Normal,Normal,Normal,Moderate,Moderate,Marked,Severe
49,105,IM,Moderate,Mild,Mild,Normal,Normal,Normal,Normal,Normal,Normal,Normal
45,104,IM,Moderate,Normal,Mild,Normal,Normal,Normal,Normal,Normal,Normal,Normal
8,110,IM,Marked,Normal,Mild,Mild,Mild,Mild,Normal,Mild,Mild,Moderate
